日期,0:00储电量（kWh）,24:00储电量（kWh）,计划购电量（kWh）,紧急购电量（kWh）,充电量（kWh）,放电量（kWh）,弃电量（kWh）,计划购电费（元）,紧急购电费（元）,总购电费（元）
2025-08-15,6000.0,6000.0,38086.6946011886,1613.814894173985,16614.034922709874,13457.368287395007,19384.115976714394,22077.15063060559,4200.765558300111,26277.9161889057
2025-08-16,6000.0,6000.0,38633.96215928728,1018.5360638705796,16395.298453442196,13280.191747288178,19608.111150337176,22313.663127316475,4269.728056242902,26583.391183559375
2025-08-17,6000.0,6000.0,68763.26964399611,313.28550788087915,21184.036223010127,17159.06934063821,1886.1946528384055,43866.99303427295,1487.5107752670979,45354.503809540045
2025-08-18,6000.0,6000.0,68590.26546531125,365.4305546101497,20750.71031791535,16808.075357511436,618.9454428508307,43946.35608378677,1242.5167745549106,45188.87285834168
2025-08-19,6000.0,6000.0,71226.57364451035,350.14777485623705,19956.47749677663,16164.746772389066,3467.330644979035,45431.41958013375,1539.711913794501,46971.131493928246
2025-08-20,6000.0,6000.0,68703.02398590896,6209.71240101834,22005.489959714723,17824.446867368933,81.00222791485612,44061.10406282119,17113.993097875133,61175.09716069633
2025-08-21,6000.0,6000.0,70555.35399745015,236.06774937206097,19801.890108660686,16039.53098801515,1184.6441428433382,44958.68828519191,1203.1788626212156,46161.86714781312
2025-08-22,6000.0,6000.0,38959.36209419164,1291.2595513066658,16583.16223763516,13432.361412484483,15869.251420347628,22328.06078600927,6542.536269094434,28870.597055103706
2025-08-23,6000.0,6000.0,39491.85193792126,460.7618555535627,16427.79370472517,13306.512900827393,14301.326839577046,22938.24260182042,1624.7117687872721,24562.95437060769
2025-08-24,6000.0,6000.0,69144.71914350064,1138.4135568221136,21252.85975839843,17214.81640430272,2511.4998628937274,44203.84099894244,4224.77284621515,48428.61384515759
2025-08-25,6000.0,6000.0,69922.46073708193,4789.903998145057,20415.2262761879,16536.333283712207,60.384726084623935,44865.0220817044,12794.082607552496,57659.1046892569
2025-08-26,6000.0,6000.0,72220.8731618021,208.33171833167674,20690.435605187726,16759.252840202054,2969.203731814768,46065.462311178155,924.5537954857144,46990.01610666387
2025-08-27,6000.0,6000.0,78054.17188777227,174.48211638452725,21464.03445690318,17385.867910091572,6236.338590678522,49428.99856023528,747.4985736297792,50176.497133865065
2025-08-28,6000.0,6000.0,71491.88288422176,3776.5455990843534,21652.833539492363,17538.795166988813,386.5951274692429,45864.5381275013,9152.92717470747,55017.46530220877
2025-08-29,6000.0,6000.0,41585.14744927428,0.0,16443.74414507768,13319.432757512917,15905.61571170952,24758.430293451587,0.0,24758.430293451587
2025-08-30,6000.0,6000.0,40476.44300432065,297.8295472435274,16589.34752922934,13437.37149867577,19109.576687677272,23822.594389125275,829.8327597759042,24652.42714890118
